span_in,depth_in,width_in,fc_psi,ncell,k_spring_lbf_per_in,n_springs_full,n_springs_half,spring_nodes,spring_z_locs,near_count,far_count,full_defl_in,half_defl_in,full_defl_ratio,half_defl_ratio,half_minus_full_in,status,note
600,36,480,5000.0,6,1000000.0,4,2,10759-10752-10784-10727,137.6-162.0-438.0-462.4,2,2,0.0881,0.1092,0.117,0.146,0.021,OK,PRELIMINARY-spring_overgrab
600,36,480,5000.0,6,5000000.0,4,2,10759-10752-10784-10727,137.6-162.0-438.0-462.4,2,2,0.053,0.0902,0.071,0.12,0.0373,OK,PRELIMINARY-spring_overgrab
600,36,480,5000.0,6,100000000.0,4,2,10759-10752-10784-10727,137.6-162.0-438.0-462.4,2,2,0.0295,0.0709,0.039,0.095,0.0414,OK,PRELIMINARY-spring_overgrab
600,36,672,4000.0,8,1000000.0,4,2,14745-14717-14713-14685,135.6-135.6-464.4-464.5,2,2,0.1099,0.1269,0.147,0.169,0.017,OK,PRELIMINARY-spring_overgrab
600,36,672,4000.0,8,5000000.0,4,2,14745-14717-14713-14685,135.6-135.6-464.4-464.5,2,2,0.0749,0.1105,0.1,0.147,0.0356,OK,PRELIMINARY-spring_overgrab
600,36,672,4000.0,8,100000000.0,4,2,14745-14717-14713-14685,135.6-135.6-464.4-464.5,2,2,0.0447,0.0896,0.06,0.12,0.045,OK,PRELIMINARY-spring_overgrab
600,36,672,5000.0,8,1000000.0,4,2,14745-14717-14713-14685,135.6-135.6-464.4-464.5,2,2,0.1001,0.1142,0.133,0.152,0.0141,OK,PRELIMINARY-spring_overgrab
600,36,672,5000.0,8,5000000.0,4,2,14745-14717-14713-14685,135.6-135.6-464.4-464.5,2,2,0.0691,0.1001,0.092,0.133,0.0309,OK,PRELIMINARY-spring_overgrab
600,36,672,5000.0,8,100000000.0,4,2,14745-14717-14713-14685,135.6-135.6-464.4-464.5,2,2,0.0402,0.0804,0.054,0.107,0.0402,OK,PRELIMINARY-spring_overgrab
600,45,480,4000.0,6,1000000.0,4,2,11389-11382-11414-11357,137.6-162.0-438.0-462.4,2,2,0.0728,0.0854,0.097,0.114,0.0126,OK,PRELIMINARY-spring_overgrab
600,45,480,4000.0,6,5000000.0,4,2,11389-11382-11414-11357,137.6-162.0-438.0-462.4,2,2,0.0488,0.0745,0.065,0.099,0.0257,OK,PRELIMINARY-spring_overgrab
600,45,480,4000.0,6,100000000.0,4,2,11389-11382-11414-11357,137.6-162.0-438.0-462.4,2,2,0.0298,0.0615,0.04,0.082,0.0318,OK,PRELIMINARY-spring_overgrab
600,45,480,5000.0,6,1000000.0,4,2,11389-11382-11414-11357,137.6-162.0-438.0-462.4,2,2,0.0664,0.0769,0.089,0.103,0.0105,OK,PRELIMINARY-spring_overgrab
600,45,480,5000.0,6,5000000.0,4,2,11389-11382-11414-11357,137.6-162.0-438.0-462.4,2,2,0.0451,0.0674,0.06,0.09,0.0224,OK,PRELIMINARY-spring_overgrab
600,45,480,5000.0,6,100000000.0,4,2,11389-11382-11414-11357,137.6-162.0-438.0-462.4,2,2,0.0268,0.0552,0.036,0.074,0.0284,OK,PRELIMINARY-spring_overgrab
600,45,672,4000.0,8,1000000.0,4,2,15586-15558-15554-15526,135.6-135.6-464.4-464.5,2,2,0.08,0.0879,0.107,0.117,0.0079,OK,PRELIMINARY-spring_overgrab
600,45,672,4000.0,8,5000000.0,4,2,15586-15558-15554-15526,135.6-135.6-464.4-464.5,2,2,0.0601,0.0801,0.08,0.107,0.02,OK,PRELIMINARY-spring_overgrab
600,45,672,4000.0,8,100000000.0,4,2,15586-15558-15554-15526,135.6-135.6-464.4-464.5,2,2,0.0375,0.0669,0.05,0.089,0.0294,OK,PRELIMINARY-spring_overgrab
600,45,672,5000.0,8,1000000.0,4,2,15586-15558-15554-15526,135.6-135.6-464.4-464.5,2,2,0.0724,0.0789,0.097,0.105,0.0065,OK,PRELIMINARY-spring_overgrab
600,45,672,5000.0,8,5000000.0,4,2,15586-15558-15554-15526,135.6-135.6-464.4-464.5,2,2,0.0551,0.0722,0.073,0.096,0.0171,OK,PRELIMINARY-spring_overgrab
600,45,672,5000.0,8,100000000.0,4,2,15586-15558-15554-15526,135.6-135.6-464.4-464.5,2,2,0.0337,0.06,0.045,0.08,0.0263,OK,PRELIMINARY-spring_overgrab
600,54,480,4000.0,6,1000000.0,4,2,12020-12013-12045-11988,137.6-162.0-438.0-462.4,2,2,0.0566,0.0634,0.075,0.085,0.0068,OK,PRELIMINARY-spring_overgrab
600,54,480,4000.0,6,5000000.0,4,2,12020-12013-12045-11988,137.6-162.0-438.0-462.4,2,2,0.0416,0.0576,0.055,0.077,0.0161,OK,PRELIMINARY-spring_overgrab
600,54,480,4000.0,6,100000000.0,4,2,12020-12013-12045-11988,137.6-162.0-438.0-462.4,2,2,0.0268,0.0493,0.036,0.066,0.0225,OK,PRELIMINARY-spring_overgrab
600,54,480,5000.0,6,1000000.0,4,2,12020-12013-12045-11988,137.6-162.0-438.0-462.4,2,2,0.0513,0.057,0.068,0.076,0.0056,OK,PRELIMINARY-spring_overgrab
600,54,480,5000.0,6,5000000.0,4,2,12020-12013-12045-11988,137.6-162.0-438.0-462.4,2,2,0.0381,0.052,0.051,0.069,0.0138,OK,PRELIMINARY-spring_overgrab
600,54,480,5000.0,6,100000000.0,4,2,12020-12013-12045-11988,137.6-162.0-438.0-462.4,2,2,0.0241,0.0442,0.032,0.059,0.0201,OK,PRELIMINARY-spring_overgrab
600,54,672,4000.0,8,1000000.0,4,2,16424-16396-16392-16364,135.6-135.6-464.4-464.5,2,2,0.0606,0.0647,0.081,0.086,0.0041,OK,PRELIMINARY-spring_overgrab
600,54,672,4000.0,8,5000000.0,4,2,16424-16396-16392-16364,135.6-135.6-464.4-464.5,2,2,0.0489,0.0606,0.065,0.081,0.0117,OK,PRELIMINARY-spring_overgrab
600,54,672,4000.0,8,100000000.0,4,2,16424-16396-16392-16364,135.6-135.6-464.4-464.5,2,2,0.0325,0.0524,0.043,0.07,0.0198,OK,PRELIMINARY-spring_overgrab
600,54,672,5000.0,8,1000000.0,4,2,16424-16396-16392-16364,135.6-135.6-464.4-464.5,2,2,0.0546,0.058,0.073,0.077,0.0033,OK,PRELIMINARY-spring_overgrab
600,54,672,5000.0,8,5000000.0,4,2,16424-16396-16392-16364,135.6-135.6-464.4-464.5,2,2,0.0446,0.0545,0.059,0.073,0.01,OK,PRELIMINARY-spring_overgrab
600,54,672,5000.0,8,100000000.0,4,2,16424-16396-16392-16364,135.6-135.6-464.4-464.5,2,2,0.0293,0.0469,0.039,0.063,0.0177,OK,PRELIMINARY-spring_overgrab
720,43,480,4000.0,6,1000000.0,4,2,13532-13520-13562-13490,174.0-186.0-534.0-546.0,2,2,0.1356,0.1774,0.151,0.197,0.0418,OK,PRELIMINARY-spring_overgrab
720,43,480,4000.0,6,5000000.0,4,2,13532-13520-13562-13490,174.0-186.0-534.0-546.0,2,2,0.0776,0.144,0.086,0.16,0.0664,OK,PRELIMINARY-spring_overgrab
720,43,480,4000.0,6,100000000.0,4,2,13532-13520-13562-13490,174.0-186.0-534.0-546.0,2,2,0.0442,0.1144,0.049,0.127,0.0702,OK,PRELIMINARY-spring_overgrab
720,43,480,5000.0,6,1000000.0,4,2,13532-13520-13562-13490,174.0-186.0-534.0-546.0,2,2,0.1251,0.1604,0.139,0.178,0.0353,OK,PRELIMINARY-spring_overgrab
720,43,480,5000.0,6,5000000.0,4,2,13532-13520-13562-13490,174.0-186.0-534.0-546.0,2,2,0.0722,0.1309,0.08,0.145,0.0586,OK,PRELIMINARY-spring_overgrab
720,43,480,5000.0,6,100000000.0,4,2,13532-13520-13562-13490,174.0-186.0-534.0-546.0,2,2,0.0397,0.1026,0.044,0.114,0.0628,OK,PRELIMINARY-spring_overgrab
720,43,672,4000.0,8,1000000.0,4,2,18661-18657-18691-18627,172.8-185.2-534.8-547.2,2,2,0.1496,0.1833,0.166,0.204,0.0337,OK,PRELIMINARY-spring_overgrab
720,43,672,4000.0,8,5000000.0,4,2,18661-18657-18691-18627,172.8-185.2-534.8-547.2,2,2,0.0925,0.154,0.103,0.171,0.0615,OK,PRELIMINARY-spring_overgrab
